,0
Num of Associated Publications,7
Mutagenesis Index Score (MIS),0.243
Mutagenesis Fitness Score (MFS),-2.701
Number of insertions in CDS,0.0
Relative Growth Rate,
Gene Modification,Disrupted
PlasmoDB Total SNPs,264.0
PlasmoDB SNP count,Non-coding: 55 | Synonymous: 84 | Nonsynonymous: 125 | Stop Codon: 0
AlphaFill Uniprot ID,C6S3C9
"""Best"" AlphaFill ligand hit","NHE (n-cyclohexyltaurine, Local RMSD=0.20) with 6GHM (Global RMSD=3.10)"
BRENDA ID,['3.1.3.16']
Num of Orthology to BindingDB Entries,0
Most Similar Human Ortholog,
TM-align score,
TM-align length,
TM-align RMSD,
TM-align sequence identity,
Protein length,2166
Molecular Weight (kDa),254.109
Isoelectric Point,5.62
UniProt IDs,['C6S3C9']
PDB ID(s),
Num of PDB ID,0
Num of Protein Domain Annotations,6
Num of Resistome Missense Mutations,2
Num of Resistome Compounds with Missense Mutations,2
Num of Samples with Disruptive Mutations,"4 (4 missense, 2 ""interesting"" missense)"
