,0
Num of Associated Publications,25
Mutagenesis Index Score (MIS),0.145
Mutagenesis Fitness Score (MFS),-2.928
Number of insertions in CDS,0.0
Relative Growth Rate,0.12 ± 0.18
Gene Modification,
PlasmoDB Total SNPs,110.0
PlasmoDB SNP count,Non-coding: 80 | Synonymous: 20 | Nonsynonymous: 10 | Stop Codon: 0
AlphaFill Uniprot ID,O77325
"""Best"" AlphaFill ligand hit","FAR (farnesyl, Local RMSD=1.40) with 1A0R (Global RMSD=3.26)"
BRENDA ID,['2.3.2.27']
Num of Orthology to BindingDB Entries,1
Most Similar Human Ortholog,Q9UMS4
TM-align score,0.65464
TM-align length,340 / 532
TM-align RMSD,1.74
TM-align sequence identity,0.341
Protein length,532
Molecular Weight (kDa),60.754
Isoelectric Point,6.62
UniProt IDs,['O77325']
PDB ID(s),
Num of PDB ID,0
Num of Protein Domain Annotations,13
Num of Resistome Missense Mutations,0
Num of Resistome Compounds with Missense Mutations,0
Num of Samples with Disruptive Mutations,"0 (0 missense, 0 ""interesting"" missense)"
