,0
Num of Associated Publications,1
Mutagenesis Index Score (MIS),0.121
Mutagenesis Fitness Score (MFS),-3.22
Number of insertions in CDS,0.0
Relative Growth Rate,0.28 ± 0.22
Gene Modification,
PlasmoDB Total SNPs,113.0
PlasmoDB SNP count,Non-coding: 111 | Synonymous: 2 | Nonsynonymous: 0 | Stop Codon: 0
AlphaFill Uniprot ID,C0H5D3
"""Best"" AlphaFill ligand hit","FAR (farnesyl, Local RMSD=0.89) with 6J7F (Global RMSD=3.30)"
BRENDA ID,
Num of Orthology to BindingDB Entries,0
Most Similar Human Ortholog,A0A7I2V4L6
TM-align score,0.91313
TM-align length,188 / 221
TM-align RMSD,1.69
TM-align sequence identity,0.319
Protein length,221
Molecular Weight (kDa),25.747
Isoelectric Point,8.44
UniProt IDs,"['C0H5D3', 'Q0ZAG4']"
PDB ID(s),
Num of PDB ID,0
Num of Protein Domain Annotations,6
Num of Resistome Missense Mutations,0
Num of Resistome Compounds with Missense Mutations,0
Num of Samples with Disruptive Mutations,"0 (0 missense, 0 ""interesting"" missense)"
