,0
Num of Associated Publications,11
Mutagenesis Index Score (MIS),0.302
Mutagenesis Fitness Score (MFS),-2.61
Number of insertions in CDS,0.0
Relative Growth Rate,0.72 ± 0.14
Gene Modification,Disrupted
PlasmoDB Total SNPs,121.0
PlasmoDB SNP count,Non-coding: 70 | Synonymous: 32 | Nonsynonymous: 16 | Stop Codon: 3
AlphaFill Uniprot ID,Q8IKH5
"""Best"" AlphaFill ligand hit","NHE (n-cyclohexyltaurine, Local RMSD=0.32) with 6GHM (Global RMSD=7.44)"
BRENDA ID,['3.1.3.16']
Num of Orthology to BindingDB Entries,0
Most Similar Human Ortholog,
TM-align score,
TM-align length,
TM-align RMSD,
TM-align sequence identity,
Protein length,889
Molecular Weight (kDa),100.775
Isoelectric Point,7.26
UniProt IDs,"['O96914', 'Q8IKH5']"
PDB ID(s),
Num of PDB ID,0
Num of Protein Domain Annotations,15
Num of Resistome Missense Mutations,0
Num of Resistome Compounds with Missense Mutations,0
Num of Samples with Disruptive Mutations,"0 (0 missense, 0 ""interesting"" missense)"
