,0
Num of Associated Publications,21
Mutagenesis Index Score (MIS),0.515
Mutagenesis Fitness Score (MFS),-2.462
Number of insertions in CDS,0.0
Relative Growth Rate,0.10 ± 0.10
Gene Modification,
PlasmoDB Total SNPs,183.0
PlasmoDB SNP count,Non-coding: 53 | Synonymous: 71 | Nonsynonymous: 59 | Stop Codon: 0
AlphaFill Uniprot ID,A0A5K1K868
"""Best"" AlphaFill ligand hit","NO3 (nitrate ion, Local RMSD=0.08) with 3PEW (Global RMSD=4.12)"
BRENDA ID,['3.6.4.13']
Num of Orthology to BindingDB Entries,0
Most Similar Human Ortholog,Q9BUQ8
TM-align score,0.69249
TM-align length,609 / 1123
TM-align RMSD,3.37
TM-align sequence identity,0.481
Protein length,1123
Molecular Weight (kDa),131.163
Isoelectric Point,7.15
UniProt IDs,['A0A5K1K868']
PDB ID(s),
Num of PDB ID,0
Num of Protein Domain Annotations,8
Num of Resistome Missense Mutations,0
Num of Resistome Compounds with Missense Mutations,0
Num of Samples with Disruptive Mutations,"1 (0 missense, 0 ""interesting"" missense)"
