,0
Num of Associated Publications,33
Mutagenesis Index Score (MIS),0.125
Mutagenesis Fitness Score (MFS),-3.099
Number of insertions in CDS,0.0
Relative Growth Rate,0.20 ± 0.08
Gene Modification,Disrupted
PlasmoDB Total SNPs,69.0
PlasmoDB SNP count,Non-coding: 42 | Synonymous: 15 | Nonsynonymous: 12 | Stop Codon: 0
AlphaFill Uniprot ID,Q08210
"""Best"" AlphaFill ligand hit","FOT (5-fluoroorotic acid, Local RMSD=0.04) with 3W1A (Global RMSD=1.41)"
BRENDA ID,['1.3.5.2']
Num of Orthology to BindingDB Entries,8
Most Similar Human Ortholog,Q02127
TM-align score,0.90796
TM-align length,389 / 569
TM-align RMSD,2.8
TM-align sequence identity,0.37
Protein length,569
Molecular Weight (kDa),65.558
Isoelectric Point,9.43
UniProt IDs,"['Q08210', 'Q54A96']"
PDB ID(s),"['1TV5', '3I65', '3I68', '3I6R', '3O8A', '3SFK', '4CQ8', '4CQ9', '4CQA', '4ORM', '4RX0', '5BOO', '5DEL', '5FI8', '5TBO', '6E0B', '6GJG']"
Num of PDB ID,17
Num of Protein Domain Annotations,5
Num of Resistome Missense Mutations,15
Num of Resistome Compounds with Missense Mutations,7
Num of Samples with Disruptive Mutations,"72 (72 missense, 69 ""interesting"" missense)"
